<850, 13, 1001635200000, [130025 0.01825 23150 -0.17781 63479 0.0085 116448 0.0219 116448 0.0219 135758 -0.04545 29889 0.19442 116448 0.0219 3390 0.03409 14131 0.25 121629 0.21591 95473 0.05335 149241 0.25 ]>
<899, 16, 1016150400000, [130025 0.01825 23150 -0.17781 33107 0.10847 119246 -0.06 64156 0.02737 14911 -0.04821 55632 -0.0241 37551 -0.01369 31659 0.01718 128681 -0.01825 42155 0.0241 154060 0.08333 86616 -0.00575 106487 -0.125 55632 -0.0241 95473 0.05335 ]>
<905, 14, 1015545600000, [130025 0.01825 23150 -0.17781 154060 0.08333 33107 0.10847 78618 0.01369 55632 -0.0241 91796 -0.08503 15961 0.06026 88329 0.13256 55632 -0.0241 106487 -0.125 119246 -0.06 33107 0.10847 55632 -0.0241 ]>
<907, 24, 1014940800000, [130025 0.01825 23150 -0.17781 40266 0.023 23483 0.125 59868 0.06818 59868 0.06818 75558 0.01965 93141 0.08333 55632 -0.0241 31933 0.255 31659 0.01718 77902 0.03866 74961 0.16667 25423 0.01701 25423 0.01701 147812 0.5 33107 0.10847 67049 -0.125 63273 0.02812 139202 -0.00767 110410 0.05657 139202 -0.00767 132882 0.0241 64156 0.02737 ]>
<919, 9, 1013644800000, [130025 0.01825 23150 -0.17781 33107 0.10847 50207 0.01825 55632 -0.0241 79450 0.03931 113034 -0.06818 149605 0.045 23150 -0.17781 ]>
<928, 8, 1011916800000, [47641 -0.125 142645 0.00964 55632 -0.0241 66097 -0.0241 23150 -0.17781 105900 0.05021 26632 0.02 16132 -0.01701 ]>
<931, 7, 1010016000000, [130025 0.01825 23150 -0.17781 55632 -0.0241 95473 0.05335 43019 -0.03061 55632 -0.0241 16132 -0.01701 ]>
<932, 11, 1010707200000, [130025 0.01825 23150 -0.17781 103791 0.05102 115793 -0.06818 49762 0.07299 16132 -0.01701 134678 -0.13636 73573 0.42045 55632 -0.0241 76532 0.02063 35722 0.03409 ]>
<1281, 6, 1005177600000, [130025 0.01825 23150 -0.17781 149975 0.03 77902 0.03866 77902 0.03866 16132 -0.01701 ]>
<1297, 7, 1004659200000, [130025 0.01825 23150 -0.17781 83928 0.26136 16132 -0.01701 149036 0.07231 125267 0.0219 77902 0.03866 ]>
<1309, 14, 1004054400000, [130025 0.01825 23150 -0.17781 149036 0.07231 143600 0.015 105196 -0.0241 40465 0.15 44983 -0.18182 154341 -0.125 55632 -0.0241 130025 0.01825 73573 0.42045 26632 0.02 49762 0.07299 61370 0.01369 ]>
<1896, 11, 1013644800000, [130025 0.01825 23150 -0.17781 104382 0.04167 131945 -0.0438 113034 -0.06818 93141 0.08333 3390 0.03409 135975 -0.1 149605 0.045 55632 -0.0241 30700 0.16667 ]>
<5289, 22, 1006732800000, [138769 0.12787 64156 0.02737 138769 0.12787 64156 0.02737 119622 0.03794 55632 -0.0241 119622 0.03794 87317 0.01473 55632 -0.0241 120424 0.02273 49762 0.07299 64156 0.02737 55632 -0.0241 55632 -0.0241 90727 -0.16667 58531 0.08333 151007 0.33333 84993 -0.04216 17138 0.06 84993 -0.04216 56275 0.10949 87317 0.01473 ]>
<5327, 13, 1006128000000, [138769 0.12787 55632 -0.0241 138769 0.12787 87876 0.06818 55632 -0.0241 52423 0.08064 126361 -0.05474 36677 -0.27212 150000 -0.625 55632 -0.0241 41138 0.12318 149975 0.03 41396 0.17857 ]>
<5472, 26, 1004313600000, [138769 0.12787 64156 0.02737 87876 0.06818 119622 0.03794 55632 -0.0241 126361 -0.05474 126361 -0.05474 115937 0.39 106327 0.125 150000 -0.625 108390 0.20455 102994 0.04545 87862 0.125 135758 -0.04545 55632 -0.0241 16942 0.023 140986 0.02273 58531 0.08333 55560 -0.02 55653 0.0115 67049 -0.125 106893 0.03571 129663 0.25 41396 0.17857 87317 0.01473 2937 0.12092 ]>
<6400, 9, 1013126400000, [33107 0.10847 77902 0.03866 78181 -0.04167 110453 0.04024 88939 0.03201 46997 0.04167 39175 -0.185 55632 -0.0241 146149 0.02009 ]>
<6456, 3, 1012521600000, [18006 0.25 31659 0.01718 124710 0.01607 ]>
<6508, 12, 1011916800000, [137430 0.03844 140154 0.625 16132 -0.01701 55632 -0.0241 3853 0.04268 55632 -0.0241 55632 -0.0241 125267 0.0219 67049 -0.125 2937 0.12092 119622 0.03794 55632 -0.0241 ]>
<6626, 3, 1010966400000, [59707 -0.02041 136315 0.05474 10293 0.125 ]>
<6631, 5, 1010966400000, [59707 -0.02041 88175 0.06818 105900 0.05021 125336 0.04762 120424 0.02273 ]>
<6636, 14, 1010707200000, [46507 0.05782 136897 -0.04167 136157 0.01884 97722 0.04167 55632 -0.0241 67049 -0.125 36777 -0.11932 67049 -0.125 31933 0.255 137430 0.03844 7061 0.06132 55632 -0.0241 42155 0.0241 91796 -0.08503 ]>
<6690, 8, 1010102400000, [26467 -0.015 67049 -0.125 86629 0.0085 26467 -0.015 137430 0.03844 10919 -0.00491 140871 0.13636 19856 0.13636 ]>
<6724, 3, 1009497600000, [67049 -0.125 25423 0.01701 150218 0.01538 ]>
<6744, 1, 1008892800000, [77902 0.03866 ]>
<6778, 2, 1008288000000, [14911 -0.04821 55632 -0.0241 ]>
<8350, 8, 969408000000, [7757 0.02314 121436 -0.03 55632 -0.0241 83464 -0.38636 109682 -0.25 14506 0.625 104747 0.34091 68623 0.41667 ]>
<11044, 5, 968976000000, [83464 -0.38636 5731 0.02721 120424 0.02273 14506 0.625 104747 0.34091 ]>
<18956, 4, 1004313600000, [106627 0.03409 36777 -0.11932 16132 -0.01701 14506 0.625 ]>
<19753, 13, 1006214400000, [64156 0.02737 121454 0.055 126361 -0.05474 126361 -0.05474 30700 0.16667 150000 -0.625 28792 -0.015 55560 -0.02 119364 0.02099 137430 0.03844 79450 0.03931 149975 0.03 135758 -0.04545 ]>
<19840, 15, 1006819200000, [138769 0.12787 138769 0.12787 87876 0.06818 55632 -0.0241 115937 0.39 99825 0.01136 138769 0.12787 55632 -0.0241 28792 -0.015 120424 0.02273 55632 -0.0241 82613 -0.20073 104747 0.34091 131309 0.05223 28681 -0.14773 ]>
<19923, 16, 1006214400000, [138769 0.12787 55632 -0.0241 138769 0.12787 87876 0.06818 108390 0.20455 119622 0.03794 55632 -0.0241 149975 0.03 147796 -0.75 121454 0.055 36677 -0.27212 104747 0.34091 114965 0.275 55632 -0.0241 58531 0.08333 104747 0.34091 ]>
<20001, 1, 1006128000000, [106627 0.03409 ]>
<20478, 5, 968976000000, [83464 -0.38636 5731 0.02721 120424 0.02273 14506 0.625 104747 0.34091 ]>
<24634, 1, 1009411200000, [6726 0.08929 ]>
<32880, 2, 988502400000, [60642 0.125 90570 0.10227 ]>
<32905, 1, 987897600000, [74551 0.625 ]>
<34580, 2, 976233600000, [104747 0.34091 155093 0.0271 ]>
<40749, 1, 1009497600000, [67049 -0.125 ]>
<41007, 3, 1005004800000, [80297 0.04167 125336 0.04762 59030 0.25 ]>
<41067, 1, 1009497600000, [67049 -0.125 ]>
<41317, 28, 996019200000, [136005 0.04106 83464 -0.38636 55632 -0.0241 147000 0.01531 58815 0.54167 55632 -0.0241 2286 0.01095 115832 0.02415 100991 0.01574 39960 0.02431 154683 0.25 127825 0.00528 127825 0.00528 58812 -0.04944 2937 0.12092 104310 0.2 32460 0.01314 119760 0.04932 79450 0.03931 67049 -0.125 145264 -0.11826 110410 0.05657 83464 -0.38636 90436 0.00053 104310 0.2 55632 -0.0241 55632 -0.0241 91726 0.21898 ]>
<42080, 1, 1006300800000, [105900 0.05021 ]>
<42379, 1, 1003276800000, [16132 -0.01701 ]>
<42555, 1, 1003968000000, [155093 0.0271 ]>
<42556, 1, 1003363200000, [155093 0.0271 ]>
<43004, 1, 993600000000, [17138 0.06 ]>
<43069, 1, 993600000000, [17138 0.06 ]>
