Term, Frequency
a+, 1


abundance, 1
abundant, 20

accessible, 13

acclaimed, 6


accolades, 2


accomplish, 20
accomplished, 27
accomplishment, 9
accomplishments, 22
accurate, 204
accurately, 24
achievable, 7
achievement, 2
achievements, 5

acumen, 2
adaptable, 4
adaptive, 3
adequate, 65

admirable, 4


admire, 2



adorable, 1



adoring, 1






advanced, 105
advantage, 198
advantageous, 6

advantages, 14


advocate, 76
advocated, 14
advocates, 43

affable, 1




affinity, 1

affirmation, 8
affirmative, 25

affluent, 1
afford, 84
affordable, 62


agile, 7


agreeable, 9





altruistic, 1

amaze, 4
amazed, 9
amazement, 4
amazes, 3
amazing, 29

ambitious, 27


amenable, 10



amiable, 1

amicable, 14
amicably, 3

ample, 13
amply, 9
amuse, 1
amusing, 1

angel, 20


appeal, 98
appealing, 13
applaud, 12
appreciable, 1
appreciate, 218
appreciated, 26
appreciates, 1
appreciative, 4

appropriate, 280
approval, 432
approve, 211
ardent, 9
ardently, 5

articulate, 9

aspirations, 9
aspire, 1
assurance, 36
assurances, 27
assure, 42

assuring, 9

astonished, 2
astonishing, 3




astounding, 4

astutely, 1
attentive, 3
attraction, 8
attractive, 50





authentic, 1
authoritative, 6
autonomous, 3
available, 1398

avid, 3
avidly, 3
award, 115
awarded, 50
awards, 113


awesome, 12




backbone, 26
balanced, 28
bargain, 15

beautiful, 69

beautifully, 1

beauty, 21






beloved, 1


beneficial, 18

beneficiary, 24
benefit, 194
benefits, 188

benevolent, 2

best, 877
best-known, 1

best-selling, 7
better, 630

better-than-expected, 2


bless, 4
blessing, 1
bliss, 2
blissful, 7


blockbuster, 19
bloom, 9

bolster, 22
bonny, 10
bonus, 72
bonuses, 7
boom, 29
booming, 10
boost, 116




brand-new, 4
brave, 8


breakthrough, 17


breathtaking, 7

breeze, 3
bright, 37
brighten, 1
brighter, 7
brightest, 6


brilliant, 1



bullish, 50


calm, 23
calming, 4

capability, 40
capable, 48

captivate, 3
captivating, 7
carefree, 2
cashback, 1


celebrate, 36
celebrated, 6
celebration, 13
celebratory, 6
champ, 3
champion, 17
charisma, 2
charismatic, 8
charitable, 4
charm, 7
charming, 18
charmingly, 1

cheaper, 51
cheapest, 9
cheer, 7





chic, 2


civility, 3

clarity, 17
classic, 31
classy, 6
clean, 323
cleaner, 20
cleanest, 4


clear, 430
clear-cut, 1
cleared, 53
clearer, 16
clearly, 156
clears, 17
clever, 3
cleverly, 1

coherence, 2
coherent, 10
cohesive, 6
colorful, 11

comfort, 40
comfortable, 124
comfortably, 4
comforting, 4

commend, 3


commitment, 114

compact, 38
compactly, 1

compassionate, 1
compatible, 10
competitive, 188
complement, 8
complementary, 5
complemented, 8
complements, 4
compliant, 20
compliment, 2
complimentary, 35
comprehensive, 181

conciliatory, 19
concise, 11
confidence, 76
confident, 69
congenial, 1
congratulate, 19
congratulation, 2
congratulations, 20
congratulatory, 1
conscientious, 2

consistent, 108
consistently, 75
constructive, 19
consummate, 1
contentment, 2
continuity, 11

contribution, 37
convenience, 31
convenient, 51
conveniently, 1



convincing, 10

cool, 71
coolest, 8
cooperative, 15
cooperatively, 3
cornerstone, 3
correct, 139
correctly, 12
cost-effective, 14
cost-saving, 3


courage, 9
courageous, 2




covenant, 4
cozy, 5
creative, 58

credible, 7
crisp, 5

cure, 16


cute, 8



daring, 5

darling, 8
dashing, 1

dawn, 27
dazzle, 1




decency, 6
decent, 18
decisive, 12

dedicated, 100
defeat, 12
defeated, 10
defeating, 1
defeats, 2
defender, 1
deference, 1
deft, 1

delectable, 1

delicate, 9
delicious, 21
delight, 11
delighted, 17
delightful, 2
delightfully, 1

dependable, 1


deserving, 1
desirable, 19
desiring, 1

destiny, 1






dignify, 2
dignity, 3
diligence, 49
diligent, 3
diligently, 1
diplomatic, 8
dirt-cheap, 6
distinction, 7
distinctive, 1
distinguished, 7
diversified, 2
divine, 9

dominate, 5
dominated, 32
dominates, 11







durable, 5
dynamic, 54
eager, 37
eagerly, 9

earnest, 4


ease, 77
eased, 7

easier, 102
easiest, 11

easing, 21
easy, 162
easy-to-use, 8





economical, 4





educated, 11
effective, 340
effectively, 79
effectiveness, 17

efficacious, 1
efficient, 81
efficiently, 14






elan, 3

elated, 1

elation, 1


elegant, 23

elevate, 5
elite, 39


eloquently, 1
embolden, 3
eminence, 1
eminent, 67
empathize, 1
empathy, 1
empower, 3



enchanting, 3
enchantingly, 4
encourage, 138
encouragement, 6
encouraging, 29



endorse, 16
endorsed, 44
endorsement, 3
endorses, 4
endorsing, 6


energy-efficient, 18
energy-saving, 12
engaging, 18
engrossing, 1
enhance, 62
enhanced, 35
enhancement, 10
enhances, 2
enjoy, 236
enjoyable, 2

enjoyed, 81
enjoying, 44
enjoyment, 2
enjoys, 2
enlighten, 2

enliven, 1

enough, 457



enrich, 2

enterprising, 1
entertain, 9
entertaining, 7
entertains, 4



enthuse, 2
enthusiasm, 15
enthusiast, 1
enthusiastic, 4



enticing, 1



entrust, 2
enviable, 1

envious, 3


envy, 3
equitable, 17



ethical, 14

euphoria, 1



evenly, 9





exalted, 1






exceed, 121
exceeded, 23
exceeding, 17
exceedingly, 2
exceeds, 27
excel, 37




excellence, 11

excellent, 86


exceptional, 25
exceptionally, 13
excite, 2
excited, 49


excitement, 13

exciting, 72



exemplary, 6





expansive, 2
expeditiously, 2





extraordinarily, 9
extraordinary, 52
exuberance, 2










fabulous, 10
fabulously, 1
facilitate, 106
fair, 209
fairly, 91
fairness, 4
faith, 60
faithful, 1


fame, 5
famed, 2
famous, 15
famously, 4


fancy, 2
fanfare, 3
fans, 17
fantastic, 28


fascinating, 6


fashionable, 3

fast, 228
fast-growing, 5

faster, 45
fastest, 21
fastest-growing, 2



favor, 219
favorable, 45
favored, 26
favorite, 140

favour, 42
fearless, 3

feasible, 17

feat, 2







fervent, 1



fervor, 1
festive, 3
fidelity, 9
fiery, 1
fine, 235

finely, 2
finer, 1
finest, 8
firmer, 4
first-class, 2


flashy, 1



flawless, 1

flexibility, 65
flexible, 36


fluent, 6
flutter, 2
fond, 14

fondness, 2

foremost, 2

formidable, 12



fortunate, 2
fortunately, 7
fortune, 50
fragrant, 2
free, 1287
freed, 7
freedom, 25
freedoms, 1
fresh, 96

freshest, 3

friendly, 50


fruitful, 19

fulfillment, 10
fun, 139

futuristic, 1


gain, 116
gained, 58

gainfully, 2
gaining, 29
gains, 85





gem, 5
gems, 2

generous, 27


genius, 5
gentle, 1

genuine, 24
gifted, 1
glad, 89

gladly, 4

glamorous, 1








glitz, 1
glorify, 2
glorious, 5

glory, 7
glow, 3
glowing, 4





gold, 51
golden, 66
good, 1331

goodness, 2
goodwill, 20


gorgeous, 5

grace, 15


gracious, 3
graciously, 2

grand, 190

grateful, 14


gratified, 3


gratifying, 1

gratitude, 2
great, 990
greatest, 36


groundbreaking, 3
guarantee, 189
guidance, 47


gush, 1


hail, 5

hale, 3






handsome, 5
handsomely, 10
handy, 10
happier, 2
happily, 5
happiness, 3
happy, 304
hard-working, 1

hardy, 10
harmless, 9
harmonious, 1


harmony, 3
headway, 2
heal, 3

healthy, 44

heartening, 1
heartfelt, 1
heartily, 1

heaven, 3

helped, 147
helpful, 116
helping, 95
hero, 8
heroic, 2




high-quality, 10

hilarious, 1
holy, 1
homage, 3
honest, 14
honesty, 4
honor, 64
honorable, 23
honored, 30
honoring, 3
hooray, 1
hopeful, 32
hospitable, 1
hot, 410


hottest, 45
hug, 8
humane, 6
humble, 6

humor, 9
humorous, 1

humour, 1

ideal, 60

ideally, 11




illuminate, 1



illustrious, 1





immense, 5
impartial, 3





important, 540
impress, 9
impressed, 11

impressive, 23


improve, 135
improved, 72
improvement, 38
improvements, 32
improves, 11
improving, 31
incredible, 49
incredibly, 22
indebted, 1
individualized, 1





inexpensive, 6



influential, 22
ingenious, 1

ingenuity, 3


innocuous, 1
innovation, 20
innovative, 24

insightful, 1

inspiration, 4
inspirational, 1
inspire, 9

instantly, 11

instrumental, 18
integral, 14
integrated, 94
intelligence, 131
intelligent, 22
intelligible, 1
interesting, 107
interests, 155

intimate, 6
intricate, 4

intriguing, 23

intuitive, 1
invaluable, 3

inventive, 2















jolly, 5

joy, 5


joyous, 1






judicious, 3

keen, 84




kindly, 48
kindness, 3
knowledgeable, 3





lavish, 16
lavishly, 3

lawful, 7

lead, 390
leading, 317
leads, 35
lean, 21
led, 268
legendary, 10
leverage, 57

liberate, 1
liberation, 2
liberty, 28


lighter, 6

like, 2812
liked, 28
likes, 51
liking, 1

lively, 10
logical, 17



love, 236
loved, 32

lovely, 9
lover, 2
loves, 13
loving, 17
low-cost, 13

low-priced, 1
low-risk, 2
lower-priced, 5
loyal, 15
loyalty, 6
lucid, 2

luck, 55



lucky, 28
lucrative, 28

lush, 13




luxurious, 22

luxury, 72

magic, 18
magical, 3



magnificent, 8

majestic, 5

manageable, 6

marvel, 2


marvellous, 2
marvelous, 1



master, 535
masterful, 3

masterpiece, 2
masterpieces, 4
masters, 34
mastery, 1

mature, 27

maturity, 43
meaningful, 37
memorable, 3


mercy, 10
merit, 20
meritorious, 6



merry, 2


mesmerizes, 4
mesmerizing, 1

meticulous, 3
meticulously, 2
mightily, 1
mighty, 12

miracle, 4
miracles, 25

miraculously, 1

modern, 31
modest, 31

momentous, 2
monumental, 2


motivated, 16

navigable, 1
neat, 3

neatly, 2
nice, 108
nicely, 15


nifty, 1
nimble, 2
noble, 6




notably, 11
noteworthy, 8





oasis, 23

obsessions, 1
obtainable, 1
openly, 18
openness, 2
optimal, 2
optimism, 11
optimistic, 29

orderly, 10


outdone, 1
outperform, 12
outperformed, 3
outperforming, 7



outsmart, 2
outstanding, 182



ovation, 1

overtake, 4




overture, 1
pain-free, 3
painless, 2


pamper, 4




panoramic, 5
paradise, 25
paramount, 3
pardon, 5
passion, 2
passionate, 1

patience, 21
patient, 26
patiently, 3

patriotic, 1
peace, 70

peaceful, 4



peerless, 5
pep, 275




perfect, 101
perfection, 11
perfectly, 12
permissible, 24
perseverance, 1


personalized, 15
phenomenal, 4

picturesque, 5

pinnacle, 6


pleasant, 14
pleasantly, 3
pleased, 106



pleasurable, 1

pleasure, 27
plentiful, 6
pluses, 5




poignant, 1

poised, 28
polished, 2


popular, 85
portable, 20
posh, 2
positive, 126
positively, 8

powerful, 49

praise, 8

praising, 4

precious, 11
precise, 18
precisely, 23
preeminent, 2
prefer, 204
preferable, 19
preferably, 6


preferring, 3
prefers, 7
premier, 48
prestige, 2
prestigious, 4

pretty, 310

pride, 19

privilege, 41
privileged, 273
prize, 27
proactive, 7




prodigy, 1
productive, 23
productively, 1


profound, 11



progress, 196
progressive, 1
prolific, 2
prominence, 5
prominent, 59
promise, 64
promised, 57
promises, 27
promising, 21
promoter, 4
prompt, 61
promptly, 49
proper, 73
properly, 76
propitious, 2

pros, 30

prosperity, 1
prosperous, 2

protect, 185
protection, 179
protective, 20
proud, 42
proven, 72
proves, 7
providence, 9
proving, 10
prowess, 2
prudence, 5
prudent, 23
prudently, 4

pure, 23


quaint, 5
qualified, 105
qualify, 42
quicker, 24
quiet, 25
quieter, 1
radiance, 7

rapid, 26
rapport, 4






rational, 19

reachable, 1

readily, 19
ready, 400
reaffirm, 7

realistic, 29

reasonable, 172
reasonably, 34
reasoned, 1
reassurance, 2
reassure, 13
receptive, 13
reclaim, 13
recomend, 1
recommend, 101
recommendation, 75
recommendations, 137
recommended, 99
reconcile, 15
reconciliation, 7
record-setting, 1
recover, 73
recovery, 76
rectification, 1
rectify, 5

redeem, 21
redeeming, 8
redemption, 7
refine, 19
refined, 5

reform, 134
reformed, 1
reforming, 3
reforms, 54
refresh, 8
refreshed, 1
refreshing, 4
refund, 70
refunded, 4
regal, 2

regard, 102






relaxed, 12

reliable, 71
reliably, 4
relief, 168
relish, 1
remarkable, 21
remarkably, 10
remedy, 39


renaissance, 20
renewed, 33

renowned, 10

reputable, 4
reputation, 33
resilient, 4





respect, 345
respectable, 2
respectful, 4
respectfully, 5
respite, 2

responsibly, 1
responsive, 53
restful, 6
restored, 14
restructure, 36
restructured, 12
restructuring, 137
retractable, 3


revere, 1

reverent, 1

revitalize, 1
revival, 10
revive, 17

revolutionary, 5
revolutionize, 1
revolutionized, 2

reward, 31
rewarding, 3

rich, 96

richly, 1

right, 919




rightful, 1
rightfully, 3
rightly, 9

risk-free, 25
robust, 24




romantic, 42




rosy, 4
safe, 67
safely, 9


saint, 2


salutary, 2
salute, 2
sane, 3

satisfactory, 17
satisfied, 18
satisfies, 11
satisfy, 39
satisfying, 2

saver, 1
savings, 293

savvy, 10
scenic, 14
seamless, 7
seasoned, 24
secure, 84

selective, 5




self-sufficient, 2
sensation, 1



sensible, 14

sensitive, 40

serenity, 2
sexy, 1
sharp, 78

sharpest, 1


shine, 9
shiny, 1
significant, 363
silent, 30
simpler, 3
simplest, 2
simplified, 16

simplify, 5
simplifying, 1
sincere, 3
sincerely, 6

skill, 8
skilled, 10
skillful, 1
skillfully, 2

sleek, 2
slick, 1
smart, 51
smarter, 5
smartest, 5

smile, 14
smiles, 2
smiling, 3


smooth, 6
smoother, 3


smoothly, 1



soft, 90
softer, 2



solid, 84

soothe, 1

sophisticated, 26


soundness, 1
spacious, 9


spectacular, 22
spectacularly, 3
speedily, 2
speedy, 8




spirited, 1
spiritual, 2

splendidly, 4

spontaneous, 2



stability, 39
stabilize, 18
stable, 29


state-of-the-art, 15


staunch, 2



steadfastly, 10



steady, 30
stellar, 11

stimulate, 13

stimulating, 2
stimulative, 1


straightforward, 5
streamlined, 15
striking, 16
strikingly, 2
striving, 4
strong, 491
stronger, 15
strongest, 31
stunned, 8
stunning, 11



sturdier, 1
sturdy, 2
stylish, 11





subsidize, 9
subsidized, 6

subsidizing, 3
substantive, 34
succeed, 14
succeeded, 6
succeeding, 5
succeeds, 9

success, 186
successes, 25
successful, 204
successfully, 69
suffice, 6


sufficient, 116
sufficiently, 24
suitable, 22



super, 106
superb, 4

superior, 76


support, 1091
supported, 87
supporter, 18
supporting, 105
supportive, 28
supports, 67

supreme, 264
supremely, 2



surpass, 5
surreal, 2
survival, 10
survivor, 5
sustainability, 2
sustainable, 17



swanky, 1
sweeping, 26
sweet, 27
sweeten, 2
sweetheart, 4

sweetness, 1
swift, 26

talent, 38
talented, 20
talents, 6

tantalizing, 5

tempt, 1
tempting, 4



tenacity, 2
tender, 37

terrific, 12

thank, 623
thankful, 3

thoughtful, 18
thoughtfully, 1
thoughtfulness, 1
thrift, 5

thrill, 4
thrilled, 13
thrilling, 5

thrills, 1
thrive, 6
thriving, 5

thumbs-up, 1



timely, 85





tolerable, 1
toll-free, 56
top, 890
top-notch, 7


tops, 9
tough, 88
tougher, 14
toughest, 4
traction, 5


transparent, 18
treasure, 12
tremendously, 2
trendy, 3
triumph, 8




trophy, 4

trump, 3
trumpet, 6
trust, 166
trusted, 9




trusty, 1





unabashed, 1

unaffected, 8

unbeatable, 6
unbiased, 6


unconditional, 8


understandable, 8


undisputed, 4



unfazed, 6
unfettered, 6
unforgettable, 15
unity, 4
unlimited, 39
unmatched, 3




unrestricted, 7


unwavering, 1
upbeat, 6


upgraded, 45
upheld, 11
uphold, 5
uplift, 8



upscale, 1
usable, 2
useable, 1
useful, 106
user-friendly, 4

valiant, 6


valuable, 94
