Term, Frequency



abundance, 1
abundant, 2

accessible, 5
acclaim, 1






accomplish, 19
accomplished, 5

accomplishments, 17
accurate, 16
accurately, 13
achievable, 1
achievement, 1
achievements, 2


adaptable, 1

adequate, 25
adjustable, 1



admire, 1




adore, 1









advanced, 30
advantage, 48
advantageous, 4

advantages, 12


advocate, 9
advocated, 1
advocates, 11




affection, 1




affirmative, 3

affluent, 10
afford, 8
affordable, 4





agreeable, 8



alluring, 1



amaze, 3



amazing, 10

ambitious, 1








amicable, 1


ample, 4




angel, 2


appeal, 5
appealing, 3
applaud, 1

appreciate, 146
appreciated, 7
appreciates, 1
appreciative, 5

appropriate, 134
approval, 200
approve, 50







assurance, 30
assurances, 6
assure, 14

assuring, 3

astonished, 1










attractive, 15


audible, 1

auspicious, 1



available, 466

avid, 1

award, 16
awarded, 11
awards, 14


awesome, 2




backbone, 8
balanced, 5
bargain, 1

beautiful, 3

beautifully, 2

beauty, 1




believable, 2

beloved, 4
benefactor, 3

beneficial, 8

beneficiary, 4
benefit, 44
benefits, 53



best, 256



better, 184




bless, 2
blessing, 9




blockbuster, 4
bloom, 3

bolster, 4

bonus, 25
bonuses, 11
boom, 1

boost, 9





brave, 2





breathtaking, 2


bright, 5
brighten, 1
brighter, 3



brilliant, 5



bullish, 2


calm, 3


capability, 13
capable, 5







celebrate, 7
celebrated, 1
celebration, 1

champ, 1



charitable, 3




cheaper, 7
cheapest, 3

cheerful, 1

cherish, 1
cherished, 1






clarity, 7
classic, 6

clean, 74
cleaner, 4



clear, 92

cleared, 23
clearer, 1
clearly, 43
clears, 3

cleverly, 1




colorful, 1

comfort, 11
comfortable, 32
comfortably, 1




commendably, 2
commitment, 26

compact, 2



compatible, 1
competitive, 121
complement, 4


complements, 4

compliment, 1
complimentary, 5
comprehensive, 39

conciliatory, 1

confidence, 17
confident, 27

congratulate, 5

congratulations, 8



consistent, 27
consistently, 10
constructive, 16
consummate, 5



contribution, 15
convenience, 18
convenient, 15
conveniently, 2



convincing, 4

cool, 11
coolest, 1
cooperative, 13
cooperatively, 1
cornerstone, 3
correct, 94
correctly, 12
cost-effective, 2











creative, 5
credence, 1
credible, 3
crisp, 1

cure, 8











dawn, 13





decency, 1
decent, 7


dedicated, 15
defeat, 4



defender, 1
deference, 3



delicacy, 1
delicate, 1

delight, 1
delighted, 1







desirable, 3
desiring, 1

destiny, 2







dignity, 2
diligence, 86
diligent, 2
diligently, 2
diplomatic, 1

distinction, 4


diversified, 3



dominated, 9









dynamic, 5
eager, 5


earnest, 8


ease, 17
eased, 3
eases, 1
easier, 23
easiest, 4

easing, 1
