Term, frequencya+, 9
abound, 11

abundance, 14
abundant, 40

accessible, 33
acclaim, 1
acclaimed, 10


accolades, 4


accomplish, 121
accomplished, 98
accomplishment, 18
accomplishments, 51
accurate, 382
accurately, 70
achievable, 17
achievement, 33
achievements, 20

acumen, 4
adaptable, 5
adaptive, 3
adequate, 228
adjustable, 15
admirable, 7

admiration, 2
admire, 6

admiring, 2

adorable, 5
adore, 1
adored, 2

adoring, 1

adroit, 1




advanced, 243
advantage, 500
advantageous, 16

advantages, 66

adventurous, 2
advocate, 161
advocated, 37
advocates, 190

affable, 1


affection, 2

affinity, 4
affirm, 3
affirmation, 8
affirmative, 39

affluent, 16
afford, 197
affordable, 102


agile, 11


agreeable, 71



alluring, 1

altruistic, 1

amaze, 8
amazed, 20
amazement, 6
amazes, 4
amazing, 82
amazingly, 8
ambitious, 53

ameliorate, 1
amenable, 26



amiable, 2

amicable, 22
amicably, 4

ample, 46
amply, 9
amuse, 1
amusing, 2

angel, 62
angelic, 5

appeal, 324
appealing, 40
applaud, 20
appreciable, 3
appreciate, 855
appreciated, 88
appreciates, 16
appreciative, 17
appreciatively, 4
appropriate, 941
approval, 1744
approve, 724
ardent, 15
ardently, 5

articulate, 24
aspiration, 1
aspirations, 10
aspire, 3
assurance, 161
assurances, 79
assure, 118

assuring, 25

astonished, 6
astonishing, 3
astonishingly, 1



astounding, 8

astutely, 1
attentive, 8
attraction, 14
attractive, 143
attractively, 6

audible, 1

auspicious, 3
authentic, 4
authoritative, 15
autonomous, 6
available, 4047

avid, 6
avidly, 3
award, 293
awarded, 139
awards, 219
awe, 2

awesome, 38




backbone, 49
balanced, 111
bargain, 41

beautiful, 121

beautifully, 4

beauty, 46
beckon, 2



believable, 4

beloved, 11
benefactor, 5

beneficial, 74

beneficiary, 41
benefit, 642
benefits, 568
benevolence, 2
benevolent, 3

best, 2482



better, 1708




bless, 21
blessing, 23
bliss, 6
blissful, 8


blockbuster, 189
bloom, 31
blossom, 3
bolster, 50
bonny, 10
bonus, 178
bonuses, 75
boom, 64
booming, 28
boost, 266





brave, 23
bravery, 1
bravo, 5
breakthrough, 35
breakthroughs, 3

breathtaking, 13

breeze, 9
bright, 90
brighten, 6
brighter, 19
brightest, 15
brilliance, 2

brilliant, 20

brisk, 2
brotherly, 2
bullish, 99
buoyant, 4

calm, 47
calming, 9

capability, 139
capable, 129

captivate, 3
captivating, 7
carefree, 2
cashback, 1

catchy, 1
celebrate, 88
celebrated, 14
celebration, 57
celebratory, 6
champ, 8
champion, 29
charisma, 5
charismatic, 8
charitable, 28
charm, 11
charming, 29
charmingly, 1

cheaper, 132
cheapest, 34
cheer, 14
cheerful, 3
cheery, 1
cherish, 3
cherished, 2

chic, 5


civility, 4

clarity, 55
classic, 64
classy, 9
clean, 880
cleaner, 76
cleanest, 13

cleanly, 7
clear, 1130

cleared, 187
clearer, 36
clearly, 450
