Term, Frequency
a+,1
abound,1
,
abundance,4
abundant,2
,
accessible,7
,
,
,
,
accolades,1
,
,
accomplish,41
accomplished,32
accomplishment,4
accomplishments,3
accurate,28
accurately,13
achievable,1
achievement,6
achievements,5
,
,
,
,
adequate,41
adjustable,2
admirable,2
,
admiration,1
,
,
,
,
adorable,2
,
,
,
,
,
,
,
,
,
,
advanced,49
advantage,59
advantageous,3
,
advantages,7
,
,
advocate,11
advocated,2
advocates,21
,
,
,
,
,
,
affinity,1
affirm,1
,
affirmative,5
,
affluent,1
afford,5
affordable,6
,
,
,
,
,
agreeable,17
,
,
,
,
,
,
,
,
,
,
amazes,1
amazing,15
,
ambitious,4
,
,
amenable,8
,
,
,
,
,
amicable,2
,
,
ample,6
,
,
,
,
angel,16
,
,
appeal,9
appealing,5
applaud,3
appreciable,1
appreciate,139
appreciated,22
appreciates,6
appreciative,4
,
appropriate,148
approval,234
approve,38
,
,
,
articulate,5
,
,
,
assurance,58
assurances,11
assure,13
,
assuring,4
,
astonished,1
,
,
,
,
,
astounding,1
,
,
attentive,1
attraction,2
attractive,23
attractively,1
,
,
,
auspicious,2
,
,
,
available,529
,
,
,
award,28
awarded,7
awards,6
,
,
awesome,6
,
,
,
,
backbone,4
balanced,27
bargain,1
,
beautiful,12
,
,
,
beauty,7
,
,
,
,
,
,
beloved,4
benefactor,1
,
beneficial,21
,
beneficiary,5
benefit,67
benefits,55
,
,
,
best,271
,
,
best-selling,3
better,219
,
,
,
,
bless,6
blessing,2
,
,
,
,
blockbuster,30
bloom,4
,
bolster,1
,
bonus,12
bonuses,3
boom,6
booming,5
boost,14
,
,
,
,
,
brave,2
bravery,1
bravo,4
breakthrough,1
breakthroughs,1
,
breathtaking,2
,
breeze,1
bright,8
,
brighter,2
,
,
,
brilliant,5
,
brisk,1
,
bullish,6
,
,
calm,4
calming,1
,
capability,30
capable,11
,
,
,
,
,
,
catchy,1
celebrate,8
celebrated,4
celebration,10
,
champ,1
champion,4
,
,
charitable,1
,
charming,1
,
,
cheaper,20
cheapest,3
cheer,1
,
,
,
cherished,1
,
,
,
,
civility,1
,
clarity,13
classic,4
classy,1
clean,104
cleaner,10
,
,
,
clear,96
,
cleared,28
clearer,6
clearly,36
clears,5
clever,3
cleverly,3
,
,
coherent,1
cohesive,1
,
,
comfort,8
comfortable,45
comfortably,2
,
,
commend,3
,
,
commitment,70
,
compact,2
,
,
compassionate,1
compatible,1
competitive,146
complement,4
complementary,1
,
,
compliant,4
compliment,1
complimentary,3
comprehensive,37
,
,
concise,5
confidence,25
confident,17
,
congratulate,4
,
congratulations,24
congratulatory,1
,
,
consistent,53
consistently,15
constructive,7
,
,
continuity,2
,
contribution,16
convenience,35
convenient,19
conveniently,5
,
convienient,1
,
convincing,1
,
cool,21
,
cooperative,7
cooperatively,1
cornerstone,1
correct,97
correctly,13
cost-effective,1
,
,
,
courage,1
,
,
,
courteous,2
,
covenant,11
cozy,2
creative,12
,
credible,5
crisp,1
,
cure,15
,
cushy,1
cute,13
,
,
,
daring,1
,
,
,
,
dawn,20
,
,
dazzling,3
,
,
,
decent,10
,
,
dedicated,27
,
,
,
,
defender,1
,
,
,
,
,
delicate,2
delicious,2
,
delighted,5
,
,
,
dependable,1
,
,
deserving,1
,
,
,
destiny,3
,
,
,
,
,
,
,
,
diligence,24
diligent,1
diligently,18
,
,
distinction,4
distinctive,3
distinguished,6
diversified,3
,
,
dominate,5
dominated,6
,
,
,
,
,
,
,
,
,
dynamic,6
eager,5
eagerly,4
,
earnest,15
,
,
ease,18
eased,4
,
easier,34
easiest,3
,
easing,3
easy,45
,
,
,
,
,
,
economical,2
,
,
,
,
,
,
effective,175
effectively,41
effectiveness,12
,
,
efficient,39
efficiently,7
,
effortlessly,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
elite,2
,
,
,
,
,
eminent,17
,
,
empower,1
,
,
,
,
,
encourage,53
encouragement,4
encouraging,12
,
,
,
endorse,12
endorsed,7
endorsement,7
endorses,1
endorsing,5
energetic,1
,
energy-efficient,4
energy-saving,2
engaging,5
,
enhance,14
enhanced,33
enhancement,1
enhances,1
enjoy,41
enjoyable,4
,
enjoyed,28
enjoying,11
,
enjoys,1
enlighten,1
,
,
,
enough,189
,
,
,
,
,
,
entertain,2
,
,
,
,
,
,
enthusiasm,4
,
enthusiastic,2
enthusiastically,1
entice,3
,
enticing,4
,
,
,
,
enviable,1
,
,
,
,
,
equitable,5
,
,
,
ethical,4
,
,
,
,
,
evenly,1
,
,
,
,
,
,
,
,
,
,
,
,
exceed,39
exceeded,9
exceeding,4
exceedingly,2
exceeds,19
excel,13
,
,
excellant,1
,
excellence,5
,
excellent,25
,
,
exceptional,1
exceptionally,3
,
excited,25
,
,
excitement,1
,
exciting,13
,
,
,
exemplary,8
,
,
,
,
,
,
expeditiously,2
,
exquisite,1
,
,
,
,
extraordinary,12
,
,
exuberantly,1
,
,
,
,
,
,
,
,
fabulous,2
,
facilitate,33
fair,36
fairly,20
,
faith,33
,
,
,
,
,
famous,8
,
,
,
fancy,5
,
fans,4
fantastic,5
,
,
fascinating,1
,
fascination,1
,
,
fast,131
fast-growing,1
,
faster,14
fastest,5
,
,
,
,
favor,37
favorable,23
favored,3
favorite,18
,
favour,4
,
,
feasible,6
,
,
,
,
,
,
,
,
,
,
,
,
,
fervor,2
festive,1
,
,
fine,82
,
,
finer,2
finest,4
firmer,2
,
,
,
,
flatter,1
,
,
,
,
flexibility,53
flexible,22
flourish,3
,
,
,
fond,2
,
,
,
,
,
formidable,2
fortitude,1
,
,
fortunate,4
fortunately,4
fortune,28
,
free,326
freed,3
freedom,18
,
fresh,8
,
,
,
friendly,9
,
,
fruitful,2
,
fulfillment,2
fun,42
,
,
,
,
gain,27
gained,6
,
,
gaining,6
gains,16
,
,
,
,
,
gem,2
gems,2
generosity,4
generous,11
,
,
genius,2
gentle,3
,
,
gifted,1
glad,56
,
gladly,3
,
,
,
,
gleefully,1
,
,
,
,
glitter,1
,
,
glorious,1
,
,
,
glowing,1
,
,
,
,
,
gold,20
golden,27
good,527
,
,
goodwill,5
,
,
gorgeous,1
,
grace,11
graceful,1
,
gracious,1
graciously,1
,
grand,9
,
grateful,8
,
gratification,2
gratified,3
,
,
,
,
gratitude,1
great,293
greatest,28
,
grin,1
,
guarantee,138
guidance,16
,
,
,
,
,
,
,
hale,1
,
,
