Term, Frequency

abound, 5

abundance, 3
abundant, 10

accessible, 4







accomplish, 22
accomplished, 16
accomplishment, 3
accomplishments, 1
accurate, 36
accurately, 7

achievement, 2
achievements, 3

acumen, 1


adequate, 32
adjustable, 10
admirable, 1


admire, 1



adorable, 1

adored, 1








advanced, 28
advantage, 85
advantageous, 2

advantages, 8


advocate, 17
advocated, 8
advocates, 29






affinity, 1


affirmative, 2


afford, 39
affordable, 8





agreeable, 16


all-around, 1




amaze, 1
amazed, 1


amazing, 16
amazingly, 2
ambitious, 5


amenable, 5



amiable, 1

amicable, 1


ample, 10




angel, 12
angelic, 1

appeal, 20
appealing, 13
applaud, 4
appreciable, 1
appreciate, 154
appreciated, 12
appreciates, 5
appreciative, 2
appreciatively, 4
appropriate, 150
approval, 357
approve, 108
ardent, 2


articulate, 2


aspire, 1
assurance, 14
assurances, 11
assure, 28

assuring, 4

astonished, 1





astounding, 2



attraction, 1
attractive, 16
attractively, 5





authoritative, 2
autonomous, 2
available, 659



award, 44
awarded, 21
awards, 18


awesome, 6





balanced, 25
bargain, 9

beautiful, 17

beautifully, 1

beauty, 7






beloved, 1


beneficial, 11

beneficiary, 2
benefit, 138
benefits, 86



best, 423
best-known, 1

best-selling, 1
better, 236




bless, 8
blessing, 6
bliss, 1



blockbuster, 76
bloom, 4

bolster, 11

bonus, 29
bonuses, 15
boom, 6
booming, 5
boost, 46




brand-new, 4



breakthrough, 5
breakthroughs, 1

breathtaking, 1

breeze, 1
bright, 10
brighten, 3
brighter, 5
brightest, 3
brilliance, 1

brilliant, 5



bullish, 26
buoyant, 1

calm, 7
calming, 1

capability, 26
capable, 34







celebrate, 13
celebrated, 1
celebration, 6

champ, 1
champion, 4


charitable, 13
charm, 2
charming, 1


cheaper, 20
cheapest, 4
cheer, 2


cherish, 1


chic, 1




clarity, 6
classic, 4

clean, 146
cleaner, 16
cleanest, 5


clear, 201

cleared, 39
clearer, 8
clearly, 61
clears, 9

cleverly, 3



cohesive, 2
colorful, 5

comfort, 8
comfortable, 62



commend, 1


commitment, 55

compact, 5



compatible, 5
competitive, 119
complement, 6
complementary, 1

complements, 1
compliant, 3

complimentary, 2
comprehensive, 58


concise, 4
confidence, 35
confident, 40

congratulate, 5

congratulations, 10

conscientious, 1

consistent, 91
consistently, 22
constructive, 19

contentment, 1
continuity, 1

contribution, 27
convenience, 39
convenient, 18
conveniently, 4



convincing, 6

cool, 29
coolest, 2
cooperative, 8
cooperatively, 1

correct, 88
correctly, 17
cost-effective, 5



courage, 3
courageous, 2




covenant, 9
cozy, 2
creative, 12

credible, 4
crisp, 4
crisper, 1
cure, 2


cute, 1



daring, 1

darling, 3
dashing, 1

dawn, 44


dazzling, 1


decency, 7
decent, 18
decisive, 3

dedicated, 19
defeat, 23
defeated, 2
defeating, 8
defeats, 3

deference, 2




delicate, 7
delicious, 5

delighted, 7
delightful, 1


dependable, 3


deserving, 1
desirable, 4
desiring, 2










diligence, 23
diligent, 5
diligently, 7


distinction, 6

distinguished, 28
diversified, 7
divine, 1

dominate, 9
dominated, 11









dynamic, 11
eager, 17


earnest, 2


ease, 57
eased, 10
eases, 6
easier, 39
easiest, 7

easing, 2
easy, 86






economical, 4


ecstatic, 1


educated, 1
effective, 230
effectively, 54
effectiveness, 7


efficient, 53
efficiently, 6











electrify, 2
elegance, 1
elegant, 4


elite, 5





eminent, 11


empower, 1
empowerment, 1


enchanting, 1

encourage, 80
encouragement, 1
encouraging, 16

endear, 1

endorse, 6
endorsed, 12
endorsement, 4
endorses, 5
endorsing, 1
energetic, 2
energize, 2
energy-efficient, 3
energy-saving, 1
engaging, 16

enhance, 27
enhanced, 16
enhancement, 5
enhances, 1
enjoy, 54
enjoyable, 8

enjoyed, 70
enjoying, 11
enjoyment, 3
enjoys, 1
enlighten, 1



enough, 294





enterprising, 1
entertain, 11
entertaining, 4



enthralled, 1

enthusiasm, 7

enthusiastic, 3

entice, 2
enticed, 3











equitable, 2



ethical, 21





evenly, 3

everlasting, 1










exceed, 36
exceeded, 32
exceeding, 8

exceeds, 20
excel, 5




excellence, 2

excellent, 38



exceptionally, 1
excite, 8
excited, 28
excitedly, 1

excitement, 4

exciting, 19



exemplary, 4



exhilaration, 3

expansive, 2
expeditiously, 2

exquisite, 1



extraordinarily, 5
extraordinary, 15
exuberance, 1







eye-catching, 1


fabulous, 8

facilitate, 32
fair, 66
fairly, 66
fairness, 11
faith, 33
faithful, 4


fame, 2

famous, 18





fans, 8
fantastic, 13


fascinating, 2




fast, 163
fast-growing, 6

faster, 18
fastest, 7




favor, 43
favorable, 28
favored, 12
favorite, 25

favour, 22


feasible, 5

feat, 1











fervor, 2

fidelity, 3
fiery, 1
fine, 107




firmer, 2
first-class, 3








flexibility, 49
flexible, 13
flourish, 1
flourishing, 1


fond, 2



foremost, 1
foresight, 2
formidable, 5

fortuitous, 2

fortunate, 6

fortune, 21

free, 478
freed, 9
freedom, 8
freedoms, 2
fresh, 22
fresher, 1
freshest, 1

friendly, 24


fruitful, 1


fun, 68




gain, 56
gained, 16


gaining, 9
gains, 9
gallant, 1





gems, 1
generosity, 2
generous, 12
generously, 1


gentle, 6

genuine, 5

glad, 63

gladly, 1



gleeful, 2

glimmer, 2






glorious, 3



glowing, 1




godsend, 1
gold, 25
golden, 32
good, 692


goodwill, 2
goood, 2

gorgeous, 4

grace, 3


gracious, 2
graciously, 4

grand, 33

grateful, 27
gratefully, 5




gratifying, 1


great, 354
greatest, 22


groundbreaking, 1
guarantee, 157
guidance, 27





hail, 1
halcyon, 2

hallmark, 1





handsome, 1
handsomely, 1
handy, 7
happier, 2
happily, 3
happiness, 6
happy, 140


hardy, 5



harmonize, 1




healthy, 18





heaven, 5

helped, 30
helpful, 70
helping, 53
hero, 5
heroic, 1




high-quality, 2

hilarious, 1
holy, 2

honest, 9

honor, 26
honorable, 28
honored, 14
honoring, 3

hopeful, 16
hospitable, 3
hot, 59


hottest, 3
hug, 2

humble, 1

humor, 6
humorous, 1



ideal, 8

ideally, 7






illuminating, 1

illustrious, 1






impartial, 1





important, 261
impress, 10
impressed, 6

impressive, 6


improve, 52
improved, 21
improvement, 11
improvements, 12
improves, 6
improving, 19
incredible, 10
incredibly, 21
indebted, 1
individualized, 2
indulgence, 1




inexpensive, 4



influential, 13
ingenious, 1





innovation, 14
innovative, 23

insightful, 1

inspiration, 1

inspire, 2
inspiring, 1
instantly, 2

instrumental, 5
integral, 3
integrated, 31
intelligence, 21
intelligent, 4

interesting, 55
interests, 62

intimate, 2
intricate, 1
intrigue, 2
intriguing, 6

intuitive, 1
invaluable, 4

















jolly, 4

joy, 7




jubilant, 1






keen, 12
keenly, 1



kindly, 18

knowledgeable, 8
kudos, 1









lead, 175
leading, 94
leads, 19
lean, 4
led, 89
legendary, 1
leverage, 33


liberation, 1
liberty, 3




like, 1514
liked, 20
likes, 23
liking, 3

lively, 1
logical, 8

lovable, 1

love, 86
loved, 9

lovely, 7
lover, 1
loves, 7
loving, 4
low-cost, 8
low-price, 1
low-priced, 8

lower-priced, 2
loyal, 2



luck, 28



lucky, 8
lucrative, 3


luster, 1



luxurious, 2

luxury, 8

magic, 8
magical, 1



magnificent, 5


majesty, 1
manageable, 1





